	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
ENSG00000198899	118	160	400	176	157	54	307	102	51	67	121	196	28	68	129	2096	159	156	178	128	65	141	25	72	102	114	84	578	195	220	76	45	60	279	257	65	26	126	347	94	78	147	153
ENSG00000178585	14	7	5	9	6	4	18	5	9	3	7	6	3	8	4	11	3	16	10	13	9	27	7	14	22	7	8	16	19	10	5	1	7	6	12	5	0	12	13	7	9	8	24
ENSG00000157306	14	10	11	19	15	2	40	7	9	5	15	13	3	7	16	4	7	16	11	24	20	35	7	13	16	8	9	18	33	24	10	6	6	16	12	6	10	6	27	14	2	8	19
ENSG00000283733	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000280049	1	0	0	2	3	0	0	0	0	0	0	0	0	0	1	0	2	0	3	6	0	0	0	0	3	1	1	0	0	1	0	0	1	1	2	1	0	0	2	0	0	1	0
ENSG00000267750	14	4	1	14	13	5	7	11	8	2	2	11	3	9	12	12	9	12	9	109	20	17	4	6	33	14	2	7	30	13	2	0	6	3	25	3	2	4	9	4	9	9	17
ENSG00000257773	3	1	0	3	2	0	1	0	0	2	2	3	0	2	0	3	2	1	1	7	1	4	1	1	5	1	1	1	2	7	2	1	1	0	2	0	0	1	4	1	1	1	1
ENSG00000184730	229	210	147	534	252	119	322	356	145	99	175	223	55	1072	310	272	231	212	371	529	248	108	165	598	318	242	134	267	364	319	229	106	107	436	411	122	71	417	562	431	337	170	251
ENSG00000248362	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000215930	5	0	0	2	1	2	2	1	1	0	1	2	0	3	1	1	0	1	0	0	0	4	0	0	5	0	3	4	8	2	0	0	1	0	4	0	0	1	3	0	0	1	4
ENSG00000253138	4	7	0	8	0	0	1	3	1	2	2	1	0	0	3	3	3	4	7	3	2	0	2	0	6	10	2	0	1	2	1	1	0	2	1	0	0	1	3	0	0	2	0
ENSG00000240254	5	2	3	9	7	6	3	4	2	0	0	1	0	1	2	6	8	8	4	11	6	0	2	1	9	4	4	2	0	5	0	3	1	2	5	1	3	5	4	3	2	4	0
