	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
ENSG00000187003	3	1	0	0	1	0	1	0	1	0	2	4	0	2	1	2	0	0	1	1	1	0	1	1	4	0	0	0	3	6	3	0	0	0	0	0	2	0	2	0	2	0	1
ENSG00000277901	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	2	1	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0
ENSG00000260471	0	1	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	1	1	2	0	0	0	0	4	1	1	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000279848	6	2	0	6	9	0	0	1	1	0	2	3	0	0	0	2	1	8	1	3	1	0	2	1	9	3	1	0	0	3	6	0	2	2	7	0	0	0	1	2	0	0	0
ENSG00000278311	64	20	21	52	41	33	58	47	50	16	25	45	15	43	39	29	52	45	26	92	60	34	35	48	95	40	33	35	27	84	33	7	34	13	46	12	17	24	26	38	19	46	22
ENSG00000270106	1	2	0	4	3	2	2	1	0	0	0	1	0	0	0	0	1	3	3	3	1	0	1	0	3	0	1	0	2	2	1	0	0	1	0	0	0	0	0	1	0	4	0
ENSG00000233010	5	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	1	6	1	4	1	0	0	0	2	1	3	0	1	6	1	1	0	0	1	0	0	0	1	2	0	1	0
ENSG00000253339	2	0	0	6	7	1	0	1	1	0	2	4	0	0	1	4	3	1	4	4	0	0	1	1	12	4	1	0	0	6	2	0	1	2	4	0	2	1	0	1	0	2	0
ENSG00000166974	79	20	15	42	50	32	46	29	26	10	28	29	16	13	37	13	24	76	23	65	73	47	37	30	104	23	27	43	47	102	33	6	30	16	42	15	30	20	22	36	39	58	24
ENSG00000140650	68	23	11	49	34	16	78	20	35	5	25	33	12	26	35	27	27	49	23	57	65	44	25	38	110	17	14	31	79	69	17	4	17	9	22	11	16	30	36	23	26	33	37
ENSG00000225942	0	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000130856	39	7	7	39	26	8	15	22	23	6	8	21	11	6	12	15	17	30	22	45	19	28	13	24	70	17	21	16	17	52	12	4	15	4	32	9	12	16	19	16	4	23	19
ENSG00000228252	13	4	0	20	20	5	3	2	7	3	5	6	0	0	2	7	9	18	4	24	5	2	4	0	25	11	4	1	0	13	7	1	6	1	12	1	5	5	11	4	0	2	0
ENSG00000199921	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	3	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0
ENSG00000162704	236	74	68	134	147	144	165	158	105	30	48	207	116	241	75	110	202	125	101	307	168	154	138	229	353	122	152	85	104	342	131	22	46	52	146	38	43	122	90	117	175	171	178
ENSG00000175305	294	69	158	245	207	157	444	122	218	102	226	175	73	310	260	230	95	222	185	231	309	419	135	230	339	82	92	304	430	357	134	65	116	110	251	91	149	210	196	129	131	137	240
ENSG00000096006	37	13	6	16	116	53	6	134	34	19	8	14	15	34	25	34	76	175	45	254	23	7	51	42	24	116	31	2	3	18	1	5	3	8	19	3	0	24	6	12	2	66	10
ENSG00000273391	0	0	0	1	0	1	5	1	0	1	3	0	0	1	2	1	1	0	0	0	2	3	0	2	3	0	0	2	1	6	0	0	2	0	1	0	0	1	2	0	0	1	0
ENSG00000196810	14	2	1	21	11	5	8	5	9	10	8	3	1	3	11	1	5	8	7	14	11	10	8	4	30	5	4	8	15	28	7	1	6	4	4	0	4	2	7	1	0	9	4
ENSG00000171396	0	0	0	7	0	0	0	0	0	0	0	1	0	0	0	1	2	0	1	0	0	0	0	0	3	1	0	0	1	2	0	0	0	0	3	0	0	1	0	1	0	0	0
ENSG00000204764	29	10	0	45	28	12	8	12	13	5	5	34	2	0	8	19	18	37	33	68	30	3	5	2	47	38	16	3	1	32	14	5	3	7	32	2	7	17	17	6	2	17	5
ENSG00000224167	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	0	0	0	1	3	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000136982	40	11	11	14	16	14	38	14	21	13	15	20	5	28	29	13	10	25	19	15	36	36	10	16	43	6	3	18	46	42	12	1	12	7	25	6	9	8	17	3	2	17	16
ENSG00000134588	7	2	0	5	12	7	1	3	1	2	1	6	0	0	3	2	4	12	4	3	1	1	1	1	10	8	5	1	0	6	3	3	0	0	9	2	3	5	6	3	0	4	0
ENSG00000107566	47	19	13	41	29	41	38	19	20	11	17	50	7	264	17	20	32	58	96	109	33	20	34	51	51	18	33	8	11	118	13	7	11	13	103	7	10	31	104	51	10	41	7
ENSG00000145919	7	1	0	7	11	2	2	8	5	1	4	5	1	1	1	8	5	8	8	9	9	6	2	0	19	2	0	6	1	17	5	1	2	2	9	1	4	4	2	6	1	6	5
ENSG00000184792	18	2	3	12	45	5	28	5	13	5	17	11	9	3	4	9	5	9	11	57	13	36	2	7	32	12	4	3	15	21	5	3	4	5	21	0	4	7	8	5	16	12	16
ENSG00000260880	0	0	0	1	1	1	2	2	0	0	0	2	0	0	0	0	3	4	5	2	0	0	1	0	7	2	1	0	0	1	2	0	1	0	3	0	0	1	3	0	0	2	0
ENSG00000248925	9	2	2	19	5	8	19	5	5	4	15	16	0	12	9	1	0	8	4	12	7	10	2	5	13	2	4	6	12	9	0	0	8	2	11	7	2	3	10	7	2	1	18
ENSG00000151746	16	2	3	19	23	8	14	13	8	6	8	23	1	2	9	13	24	35	20	40	15	13	6	8	53	16	10	12	5	37	10	8	13	3	18	6	7	12	17	10	1	14	2
ENSG00000163125	32	12	9	38	26	14	27	13	12	8	11	25	12	10	19	13	13	27	20	53	27	24	12	8	39	18	18	17	19	40	19	2	15	10	48	9	10	13	20	13	5	28	14
ENSG00000065613	95	36	45	107	83	69	113	80	67	26	25	97	45	190	56	37	70	79	98	189	93	50	59	123	123	87	80	29	66	166	57	18	22	44	114	26	26	82	55	53	98	95	72
ENSG00000241599	1	1	1	2	6	5	18	3	5	0	4	6	0	5	1	1	0	0	2	22	0	2	0	9	1	1	2	1	1	2	0	1	2	10	8	0	0	15	105	17	0	0	3
ENSG00000258417	1	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ENSG00000226782	0	0	0	1	1	0	1	1	0	0	1	1	0	0	0	4	0	1	1	0	1	0	0	0	1	4	4	0	0	4	0	0	1	0	1	1	2	0	3	0	0	4	2
ENSG00000284659	0	1	0	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000277694	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000244565	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	2	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000228295	4	0	0	2	2	0	3	0	0	0	0	2	2	1	0	0	1	0	1	3	0	0	0	2	5	2	1	0	0	3	1	0	1	0	1	1	0	2	2	0	0	1	0
ENSG00000200287	0	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0
ENSG00000230132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000250550	0	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	2	2	0	2	1	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000237436	2	1	0	2	1	1	1	0	1	0	0	0	0	0	0	0	1	1	2	0	1	0	0	0	4	0	0	0	1	1	0	0	0	0	0	0	1	0	2	0	0	0	0
ENSG00000178665	9	0	0	13	4	0	2	3	5	1	3	7	0	0	0	3	2	7	13	11	3	0	0	1	14	8	3	0	0	9	3	0	3	1	6	2	1	4	3	0	1	6	0
ENSG00000207168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSG00000168646	1	0	0	5	4	0	2	2	1	2	1	1	0	0	1	0	1	0	1	6	3	1	0	0	6	0	1	1	0	4	1	0	0	0	0	0	1	0	1	0	0	1	0
ENSG00000141371	2	0	0	0	0	1	0	1	0	0	0	0	0	0	2	1	0	0	0	1	0	0	1	0	2	0	0	0	0	1	0	1	0	1	0	0	0	0	3	0	0	3	2
ENSG00000014914	22	7	3	24	12	5	20	3	3	3	8	9	4	5	4	6	18	11	6	29	8	19	14	10	47	5	4	10	11	18	15	2	4	4	8	4	4	10	7	5	16	3	17
ENSG00000265135	1	0	0	4	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	5	0	3	0	1	1	0	1	0	1	3	0	0	0	0	0	0	0	2	0	0	0	1	0
ENSG00000260035	0	1	0	0	2	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000225648	14	4	1	5	7	6	5	2	4	4	6	4	0	2	5	6	5	9	3	9	7	3	10	5	10	2	2	5	2	5	3	1	1	0	5	2	0	3	3	2	0	4	6
ENSG00000231416	0	0	1	0	5	0	0	1	3	0	0	0	0	0	1	0	2	3	2	2	1	2	0	1	5	0	1	0	1	3	1	0	1	1	2	0	0	0	1	1	0	1	0
ENSG00000229835	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ENSG00000113391	29	7	7	32	28	10	29	28	14	2	11	27	12	35	14	34	13	33	45	51	25	17	14	24	51	24	8	20	20	34	14	5	14	7	20	3	22	10	13	9	10	24	28
ENSG00000288017	3	2	0	2	5	0	0	0	0	0	0	0	0	0	1	1	2	1	3	2	0	0	1	0	3	2	0	1	0	0	1	1	0	0	0	0	0	0	1	0	0	1	0
ENSG00000204913	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	2	1	3	1	0	0	1	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000229018	87	11	40	62	29	20	128	15	30	17	47	48	3	41	54	23	19	53	18	73	85	118	48	25	88	8	15	56	85	77	20	6	66	14	67	20	27	23	46	48	21	29	75
ENSG00000207781	2	2	0	3	2	1	2	0	1	0	1	3	0	0	1	0	1	0	0	0	0	1	0	1	1	1	1	0	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0
ENSG00000283249	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000233579	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	0	0	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000227597	1	1	0	5	1	2	0	0	1	1	0	0	0	0	0	1	1	3	0	3	0	0	0	0	11	2	0	1	0	6	0	0	1	0	7	1	0	0	0	1	0	1	0
