gene	P4	P5	P6	P7	P8	P9	P10	PE Fitness	PE vs. Cell Culture Differential Fitness	PE p-value	PE Composite Score	Liver Fitness	Liver vs. Cell Culture Differential Fitness	Liver p-value	Liver Composite Score	Spleen Fitness	Spleen vs. Cell Culture Differential Fitness	Spleen p-value	Spleen Composite Score	Lung Fitness	Lung vs. Cell Culture Differential Fitness	Lung p-value	Lung Composite Score
TGGT1_310330	-1.39703015156552	-1.72912628964337	-1.97391112384125	-2.12748107668969	-2.14046859113308	-2.3235560568547	-2.24125374866648	-2.21511190440461	-0.278729220795776	0.0018224414603199	-0.763535891186962	-3.13914080490734	-1.07601247282589	1.04E-07	-7.51594955558922	-3.82576409849084	-1.8043777834727	1.22E-10	-17.8890639788542	-5.62764829452339	-3.3388856755669	1.10E-16	-53.2871665106605
TGGT1_298600	0.179280066521389	0.0477442880874384	0.0495465000910854	0.0241219778794883	-0.124246712617244	-0.11161597103991	-0.268411404411096	-0.327386822166776	-0.225090095781866	0.0004209096096976	-0.759861657087932	-0.824075262450386	-0.455690736429203	0.0056095846373021	-1.02579142477619	-0.990391271776114	-0.403858177085855	0.0940829614617624	-0.41455598470186	-1.18854460663243	-0.876703572827288	7.25E-05	-3.62926277884627
TGGT1_228140	1.03073032819612	1.08192845000579	1.15397645570183	1.26116217037806	1.26412601952	1.44360639390162	1.30312860609214	1.05596965711613	-0.265335242457814	0.0013771723679022	-0.759127233021356	0.570439482997682	-0.210519815187811	0.3986955562991	-0.0840728996725559	0.122270704256777	-0.388309403213781	0.208037750217	-0.264771815378372	0.376769644821379	-0.315509007502381	0.340720008892567	-0.14753275701403
TGGT1_279440	0.475508832544263	0.579317392507345	0.569443651445309	0.548310849798424	0.578324260311958	0.565395347850277	0.609863708518532	0.3912375691989	-0.216629633666627	0.0003161763779755	-0.758219007553122	-0.106024769657634	-0.448392672886493	0.0052032571914778	-1.02400542544512	-0.509785185984213	-0.679781186594148	0.0040982059528131	-1.62291383323961	-0.196605810203357	-0.65873162318222	0.0010217984603218	-1.97002568720581
TGGT1_278840	0.219766700070357	0.344772269906903	0.360879773026388	0.395004700219865	0.415748556881032	0.449181814377046	0.497768164757868	0.242844622341373	-0.28166027361139	0.0021108960550592	-0.753591399574104	-0.409646437866028	-0.697252562584801	0.0023612247428144	-1.83158673138114	-1.00015033560142	-1.17734966286586	0.0007016922877278	-3.71318811566689	-1.42503330054267	-1.97417636654356	1.20E-08	-15.6365675019915
TGGT1_289027	0.260924319002903	0.423544276855572	0.356354097660787	0.441408301410904	0.443055377992617	0.520413719030916	0.573739482862165	0.254498608249959	-0.216637809150994	0.0003368375666784	-0.752292010359386	-0.318991546397729	-0.524515357833888	0.0013068392396292	-1.51258576236555	-0.62788084925115	-0.652219188064073	0.006206614143315	-1.43954248502553	-0.117118557552725	-0.430229346639834	0.0284231848372648	-0.66527536705751
TGGT1_207250	0.34685182814403	0.519244167069228	0.467664067230758	0.484295082550939	0.42834770851909	0.462419472180296	0.418006954155565	0.224206890388151	-0.313155545082408	0.0039604433237368	-0.752279848904987	-0.824302863383478	-1.12510190930497	5.72E-05	-4.77368531004653	-0.806410179691404	-0.996830407434172	0.0181103722763409	-1.73655096181551	-0.386191890332774	-0.948369105432968	0.0133766041409942	-1.7769156864025
TGGT1_297390	-0.810085668768855	-0.673881896973537	-0.772512644860116	-0.743776098312514	-0.763111443143847	-0.72070004769318	-0.768529156277241	-1.06882395946483	-0.204734097624301	0.0002145834229258	-0.75104734813182	-1.75063105035414	-0.663343221450702	0.0002412072064762	-2.39971688631304	-1.9692114271591	-0.790656276281006	0.0007578572290305	-2.46717380866973	-1.67992835142271	-0.555571078489524	0.0018653611046131	-1.51628518972583
TGGT1_230705	1.11126901560452	1.24830591966084	1.30546575122126	1.41363210243119	1.45962312826036	1.4399480871357	1.4722164769794	1.37941902112587	-0.191393954254885	0.0001200530368439	-0.750384275906394	1.07034515650461	-0.381385520460424	0.0160296277252972	-0.68461620949587	0.803206534202035	-0.280513791196207	0.345011731054473	-0.129643975487447	1.41607863303859	0.0422811862384873	0.80174059329857	0.0040575616832531
TGGT1_410080	0.47186971727588	0.453067104179261	0.513266832654864	0.465725717761069	0.418159785434767	0.494988887659934	0.482439073536788	0.247383585552564	-0.232075875420054	0.0005955206871823	-0.748468636254823	-0.122401132398626	-0.34001084495046	0.0599044732438605	-0.415677112152409	-0.834142409437148	-0.814496594980245	0.0065900851059797	-1.77650583487143	-0.0679503351970805	-0.394117391946875	0.0351194693396889	-0.573224850616317
