	SRR065639	SRR065640	SRR065641	SRR065642	SRR065643	SRR065644	SRR065645	SRR065646
PF3D7_0323700	3663	5384	5455	4769	5314	3720	7732	4766
PF3D7_1337600	0	0	0	0	0	1	1	2
PF3D7_0208600	343	120	67	238	1481	2164	5029	3239
PF3D7_1027600	36	36	28	50	140	133	312	291
PF3D7_0928150	0	0	0	0	0	0	0	0
PF3D7_0713100	1	4	7	35	169	42	17	4
PF3D7_0908000	333	160	325	310	230	302	1113	1972
PF3D7_1203900	2054	1421	1170	1359	2401	1558	2018	1829
PF3D7_0618800	47	34	21	83	695	888	1320	623
PF3D7_1254600	1	0	0	0	9	4	0	0
PF3D7_0210900	2268	3340	4072	4951	8182	6054	8917	4132
PF3D7_1224400	1081	1872	2132	1883	2055	1125	1086	384
PF3D7_1369700	174	165	210	151	254	184	264	195
PF3D7_0306200	72	272	511	798	1790	1432	1664	512
PF3D7_1239500	56	43	19	43	290	367	1087	985
PF3D7_1478800	670	494	636	585	327	59	29	49
PF3D7_1427500	39	27	39	58	712	1615	3124	1631
PF3D7_0627100	6841	4596	3613	3049	3214	2322	3618	2637
PF3D7_1009300	120	226	254	224	449	489	899	446
PF3D7_1113600	511	599	689	561	584	395	750	516
PF3D7_0804900	1359	889	691	611	811	599	1143	1233
PF3D7_1146600	9466	1877	245	158	431	777	1674	2678
PF3D7_1368100	153	135	223	446	718	746	1469	1446
PF3D7_0316300	602	267	137	117	1192	2841	8758	6820
PF3D7_1467600	685	1846	6775	10515	12042	8064	9685	3782
PF3D7_1432600	88	370	508	714	925	857	1478	677
PF3D7_1102700	36391	26765	19489	13810	4733	1041	717	843
PF3D7_1111200	127	357	542	662	911	832	1045	304
PF3D7_1316400	21	20	25	19	16	26	39	11
PF3D7_0714000	6834	4292	3611	3300	3702	3896	13506	21243
PF3D7_0816900	2	5	6	4	4	10	21	16
PF3D7_1343100	861	208	62	40	70	347	1822	3198
PF3D7_0932600	27	13	3	21	163	231	554	322
PF3D7_0307100	874	3244	4763	6031	9146	5973	6478	4003
PF3D7_0900900	0	0	0	0	0	0	0	0
PF3D7_0111600	17	93	275	387	390	342	548	256
PF3D7_0924200	96	208	362	548	942	738	1155	515
PF3D7_0405300	396	104	86	97	97	105	154	255
PF3D7_1401600	4085	2733	4206	4382	1265	524	920	7555
PF3D7_1340900	6306	5720	4611	4450	4304	2515	4495	4272
PF3D7_0614900	1174	459	155	136	457	1114	5829	7061
PF3D7_0209700	1263	1456	1406	1247	1100	729	1009	742
PF3D7_1227900	325	782	1321	1484	1539	860	941	204
PF3D7_1031200	974	270	124	135	148	51	264	1879
PF3D7_1030400	124	162	147	104	57	73	129	90
PF3D7_0108800	555	201	181	228	371	494	1051	734
PF3D7_1401700	7	3	3	3	5	8	12	5
PF3D7_1476600	163	478	1211	1352	1842	1156	1212	715
PF3D7_0415400	595	694	741	686	745	542	1228	1405
PF3D7_0626000	477	1491	2606	2424	2146	1384	2093	888
PF3D7_1253300	805	1301	1024	463	236	174	146	47
PF3D7_0106400	335	941	1583	1879	2427	995	721	244
PF3D7_0603000	879	1188	1718	1506	1456	1061	1966	1573
PF3D7_0610900	5928	9317	9174	7543	8530	5687	8781	3700
PF3D7_1105000	5666	5148	4068	3771	2974	3188	8666	14883
PF3D7_1338600	1671	496	136	113	1075	2083	4620	3402
PF3D7_0722300	1139	2011	2207	2024	2362	1698	2232	925
PF3D7_1410200	1101	2916	4371	5300	7395	3557	2338	587
PF3D7_0606300	94	56	79	78	107	74	136	156
PF3D7_0525800	17980	4427	499	114	94	107	114	2360
PF3D7_1026200	6	12	17	68	489	547	514	115
PF3D7_1347900	95	65	39	22	354	1097	2113	980
PF3D7_1200700	47265	57033	31224	9016	1891	995	868	463
PF3D7_1317800	2148	6576	9396	10735	12873	7734	10523	5275
PF3D7_0200500	1	0	0	0	0	0	0	3
PF3D7_1010500	15	33	7	14	7	2	5	8
PF3D7_1243800	15	12	13	6	36	36	70	25
PF3D7_1301400	1129	20962	52198	44350	11583	2403	1222	327
PF3D7_0821000	303	97	27	33	256	514	1469	1726
PF3D7_0526300	259	615	809	716	611	346	479	320
PF3D7_0803600	1640	1261	1259	1200	1398	1266	3478	3561
PF3D7_0732400	0	5	4	0	5	1	0	0
PF3D7_1338800	70	95	78	81	300	485	528	281
PF3D7_1203500	1096	2128	2093	1366	1367	1181	1616	724
PF3D7_1147000	147	50	20	17	17	33	234	364
PF3D7_1029800	102	81	25	81	574	1024	2105	1180
PF3D7_0419100	34	16	35	34	89	93	190	132
PF3D7_0401100	0	0	0	0	0	0	0	0
PF3D7_1448700	138	251	307	348	453	286	323	187
PF3D7_1445300	49	49	42	60	123	406	631	265
PF3D7_0213600	131	138	111	87	194	509	858	297
PF3D7_1454400	2078	2649	3566	4706	8382	4814	5027	2259
PF3D7_0717300	1881	703	675	928	1369	927	1259	912
PF3D7_0609400	1592	1461	690	1440	2242	1725	1853	1825
PF3D7_0509100	935	501	240	149	965	4313	14327	11287
PF3D7_1470500	78	79	40	35	42	117	440	303
PF3D7_1030200	2568	795	195	95	64	51	117	1068
PF3D7_1217100	112	206	143	157	163	154	237	156
PF3D7_0717600	520	164	66	50	193	522	2158	2547
PF3D7_1312300	26	21	14	8	121	338	566	313
PF3D7_0701600	4	6	11	73	385	115	30	4
PF3D7_1463500	487	601	529	235	135	268	691	507
PF3D7_0414000	371	351	231	435	2629	4471	9545	5030
PF3D7_1212000	63	84	168	276	720	1314	2996	1972
PF3D7_1404900	13619	7163	4168	3914	4806	3538	5187	2858
PF3D7_0316900	2717	1249	965	909	967	768	1360	1165
PF3D7_1115000	76	19	12	35	304	518	970	691
PF3D7_0501900	50	147	195	230	329	272	692	584
PF3D7_1131500	4	9	10	6	4	7	9	12
PF3D7_0610000	30	26	17	19	112	316	597	372
PF3D7_1122400	691	1684	1934	1622	2114	1641	2597	1268
PF3D7_1115300	278	858	1627	1964	1673	760	579	152
PF3D7_0811300	31602	39241	30723	23241	17775	12953	23794	19713
PF3D7_1458600	1260	2086	2618	2142	2151	1406	2227	1360
PF3D7_1025500	316	291	226	169	388	893	1880	781
PF3D7_1456700	229	613	886	871	894	744	1616	1152
PF3D7_0529300	56	28	22	71	241	216	544	444
PF3D7_0526400	75	31	22	22	76	132	369	476
PF3D7_0604000	40	46	51	46	320	323	375	100
PF3D7_1305900	102	88	277	661	1860	1165	1208	556
PF3D7_1426400	31	17	7	1	15	8	108	137
PF3D7_1141000	26	34	49	44	30	22	133	50
PF3D7_1433800	348	140	80	136	656	959	3140	2657
PF3D7_0303800	112	44	41	146	901	851	1127	781
PF3D7_API01700	0	0	0	0	1	3	2	5
PF3D7_1472600	593	137	36	12	44	58	217	703
PF3D7_0525300	1277	287	44	18	48	122	212	221
PF3D7_1401500	162	372	1712	2083	1150	340	274	75
PF3D7_0702200	2852	1253	744	650	280	138	104	93
PF3D7_0830500	51579	77913	34002	9587	1602	568	494	695
PF3D7_0502300	18	30	24	12	18	9	19	26
PF3D7_1425800	316	179	91	91	184	559	2474	2772
PF3D7_1120200	562	425	483	539	761	533	1216	1645
PF3D7_0727200	459	989	1054	906	1210	662	477	156
PF3D7_1425000	1	0	0	1	4	2	2	2
PF3D7_1445800	22	20	25	9	21	29	153	201
PF3D7_1405300	141	67	150	244	530	581	1048	633
PF3D7_1116200	278	215	229	228	163	69	133	129
PF3D7_1119700	1911	644	250	232	189	239	497	615
PF3D7_1471600	54	99	75	54	63	34	76	34
PF3D7_0519500	683	649	1459	4536	8519	6608	9598	3563
PF3D7_1126100	39	23	31	78	227	362	811	525
PF3D7_1101400	0	0	0	0	0	0	0	0
PF3D7_API03900	0	0	0	0	0	0	0	0
PF3D7_1431900	157	57	30	25	36	48	163	388
PF3D7_1234200	495	267	193	522	2309	3107	6382	4014
PF3D7_1104300	309	255	148	414	2256	3829	8604	4394
PF3D7_1337800	6690	1707	247	112	51	28	41	314
PF3D7_1440200	57	29	23	236	800	734	1144	564
PF3D7_1119000	122	124	168	499	1667	1859	3500	2023
