	PL01	PL02	3D7
PF3D7_0519500	806	293	61
PF3D7_1126100	152	55	17
PF3D7_1101400	0	0	0
PF3D7_API03900	0	0	0
PF3D7_1431900	25	10	0
PF3D7_1234200	89	32	25
PF3D7_1104300	916	364	1051
PF3D7_1337800	1366	298	345
PF3D7_1440200	420	170	115
PF3D7_1119000	241	88	27
PF3D7_1440300	132	43	15
PF3D7_1361500	276	65	51
PF3D7_0513200	534	172	145
PF3D7_0109800	1767	582	397
PF3D7_1120100	3355	1399	755
PF3D7_0604500	2360	828	228
PF3D7_1231200	90	22	25
PF3D7_1225900	42	22	3
PF3D7_1235900	363	118	72
PF3D7_1333000	296	124	33
PF3D7_0914000	177	62	28
PF3D7_1016400	2105	814	185
PF3D7_0108400	107	34	7
PF3D7_0817700	1460	591	441
PF3D7_0607300	18	4	1
PF3D7_0111500	659	279	194
PF3D7_1103300	0	0	0
PF3D7_0101500	0	0	0
PF3D7_1348400	292	96	34
PF3D7_1243300	16	2	0
PF3D7_1228000	20	14	1
PF3D7_1314700	615	267	178
PF3D7_1139800	67	23	12
PF3D7_0701300	0	0	0
PF3D7_1403800	184	59	21
PF3D7_0520300	237	123	16
PF3D7_1227100	784	256	288
PF3D7_0404900	395	117	111
PF3D7_1415000	37	21	3
PF3D7_1113800	72	21	11
PF3D7_1324700	682	302	210
PF3D7_0505000	1027	247	460
