	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
PF3D7_1235300	5598	6836	5669	2167	1358	2281	1007	2451	4434	3438	290	342	817	5015	606	705	2277	2873	3813	310	441	1400	2868	1912	641	946	1822	707	1587	519	1022	327	1220	1376	326	477	4294	2126	352	85	2443	783	4218
PF3D7_0832200	73	0	66	18	49	36	0	0	14	97	0	101	1	0	31	2	49	69	0	2	0	8	0	8	47	5	0	172	208	8	47	0	12	0	0	0	1159	11	4	0	44	0	10
PF3D7_0111400	13	9	5	3	2	3	3	12	6	3	0	6	0	0	3	0	12	30	3	2	8	1	4	0	7	4	2	0	9	1	10	3	3	0	5	8	100	5	3	2	0	2	0
PF3D7_0804500	1828	9001	2383	1812	534	440	1320	697	1873	3394	526	1185	113	1027	409	55	867	1453	681	225	648	1210	2197	329	1134	81	394	1382	4112	179	2682	778	2946	525	230	1191	8963	1212	208	74	2231	245	1387
PF3D7_1342500	17	7	10	0	7	151	0	8	9	3	1	2	6	0	2	9	11	31	12	0	1	4	5	11	1	1	8	1	3	1	1	0	0	11	6	0	0	0	8	3	2	0	0
PF3D7_1011600	95	365	81	34	19	17	26	44	58	102	19	81	3	110	16	1	38	38	69	7	28	44	60	5	29	3	11	52	215	8	104	20	114	36	9	43	375	47	14	7	64	12	45
PF3D7_0314100	1002	4705	823	317	189	257	240	364	661	1173	86	103	132	756	121	289	438	935	384	48	124	231	1546	274	130	164	185	186	572	51	210	43	269	241	34	50	1112	331	67	24	1322	159	313
PF3D7_1469800	10	849	25	9	6	7	25	7	11	23	7	45	0	4	7	10	15	60	5	1	25	12	50	2	48	1	1	69	218	0	142	7	103	0	5	18	348	21	2	0	134	11	3
PF3D7_1434900	15	5	8	5	1	1	1	2	1	4	1	2	0	0	0	0	8	15	3	1	2	0	2	0	0	3	2	1	0	4	2	0	3	0	3	1	8	1	5	0	1	2	0
PF3D7_1245700	28	125	33	6	3	8	3	4	5	23	5	8	1	10	2	0	3	4	4	1	2	11	13	2	1	1	3	5	17	2	6	4	7	11	4	2	33	5	2	0	13	2	10
PF3D7_0718000	752	2519	237	327	107	63	101	113	593	497	39	58	5	352	38	7	217	139	135	30	6	99	602	13	9	25	41	9	91	26	19	4	8	90	60	1	30	142	58	13	365	42	80
PF3D7_0908200	43	85	23	9	22	27	4	37	47	19	10	6	1	7	49	19	44	169	13	4	2	6	13	0	3	3	6	1	111	13	14	2	6	4	10	5	23	11	6	3	3	22	4
PF3D7_1236100	752	699	1357	637	320	297	232	824	266	305	486	2171	18	430	70	74	611	141	471	110	1671	649	494	56	2896	28	485	3324	5958	83	3421	1150	8487	566	18	1558	23447	847	39	84	1351	371	1266
PF3D7_0522100	29	79	9	14	14	24	3	29	24	20	1	5	1	7	27	15	40	67	15	0	3	3	24	2	4	5	6	3	92	10	54	10	12	4	1	6	53	13	7	2	6	13	12
PF3D7_0208500	4	48	6	1	3	0	1	4	2	4	1	1	0	4	3	0	1	4	1	1	0	3	1	0	1	0	0	0	13	1	0	1	0	2	3	3	41	2	5	0	7	4	1
PF3D7_0410700	64	428	70	34	59	105	93	67	105	35	18	44	3	42	71	40	76	268	21	5	106	24	110	2	141	14	13	63	483	23	92	32	25	6	8	31	704	22	16	5	26	59	2
PF3D7_1423000	3880	8863	2957	1326	772	1184	559	1756	2644	3275	270	460	384	2575	330	216	1478	2369	1605	233	374	830	3336	1122	463	378	745	643	1830	257	744	164	1004	1032	221	263	3981	1536	284	119	3700	364	2554
PF3D7_1221800	76	46	24	16	7	18	6	36	29	20	5	33	16	12	15	13	36	65	23	1	15	7	25	19	14	15	17	5	34	14	17	4	22	2	6	8	99	22	9	3	19	21	18
PF3D7_1437400	61	624	43	33	21	19	57	16	40	112	20	35	3	17	12	5	33	45	18	2	50	34	101	4	83	5	4	68	283	9	146	10	194	8	11	13	393	27	10	2	206	17	8
PF3D7_1363700	14	13	5	7	1	8	3	6	7	10	0	2	2	0	8	1	18	26	11	1	3	0	8	1	6	4	2	7	6	2	1	4	1	0	10	8	59	4	10	2	2	8	0
PF3D7_0409600	37	794	43	13	29	44	23	28	36	21	12	150	2	11	74	20	47	179	28	3	126	84	55	0	256	7	14	413	727	13	308	60	856	1	9	114	2108	21	14	1	90	57	4
