	ERR3470491	ERR3470495	ERR3470496	ERR3470497	ERR3470499	ERR3470501	ERR3470502	ERR3470503	ERR3470492	ERR3470493	ERR3470494	ERR3470484	ERR3470486	ERR3470487	ERR3470488	ERR3470490	ERR3470504	ERR3470505	ERR3470506	ERR3470507	ERR3470508	ERR3470510	ERR3470511	ERR3470512	ERR3470514	ERR3470515	ERR3470516	ERR3470517	ERR3470519	ERR3470520	ERR3470521	ERR3470522	ERR3470523	ERR3470524	ERR3470526	ERR3470527	ERR3470528	ERR3470529	ERR3470530	ERR3470531	ERR3470532	ERR3470535	ERR3470536
PF3D7_1321100	43	98	27	6	1	11	1	11	17	14	0	12	1	8	5	4	57	37	20	1	10	7	12	2	7	23	8	0	10	8	6	0	5	2	9	0	5	9	18	1	11	20	0
PF3D7_1361300	4	0	0	1	0	0	1	2	0	2	0	1	0	1	1	2	2	7	0	0	0	0	0	1	0	0	0	0	2	1	0	0	0	0	0	0	3	1	2	0	0	6	0
PF3D7_1252900	69	87	32	10	7	49	3	71	29	32	0	2	56	50	10	2	102	63	26	2	2	5	89	55	3	17	61	0	4	13	0	2	3	31	7	2	6	34	3	2	72	50	88
PF3D7_1244800	222	495	325	53	19	137	29	44	87	99	9	22	5	112	8	2	73	58	35	6	8	27	238	20	30	3	29	23	67	7	61	3	73	22	6	4	170	17	40	4	178	26	36
PF3D7_1020100	10	53	11	4	1	0	1	6	9	11	2	4	0	5	0	1	6	11	5	2	4	3	15	2	0	2	2	3	8	1	6	1	7	6	5	3	20	6	1	0	19	1	9
PF3D7_0622600	0	1	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
PF3D7_0525000	35	57	30	62	21	83	1	116	40	27	14	182	7	39	7	6	79	30	78	7	26	19	21	40	34	28	63	9	13	15	50	9	3	34	9	14	69	64	26	4	22	35	53
PF3D7_0732500	3	10	10	7	2	1	9	2	0	0	0	4	1	0	0	0	5	23	3	0	0	3	6	0	1	2	1	0	0	1	1	0	3	1	21	0	2	1	1	0	6	2	1
PF3D7_1335300	12	25	2	3	5	3	0	6	9	6	0	6	2	1	1	6	12	42	13	1	1	0	7	0	1	1	2	0	0	3	2	0	2	4	3	1	0	8	14	0	8	3	0
PF3D7_0207000	6	14	9	1	4	11	0	3	4	6	0	3	1	0	1	3	4	20	4	1	0	1	3	0	1	5	1	0	1	1	2	0	3	1	2	0	3	0	0	1	0	0	0
PF3D7_0412300	11	5	0	1	0	0	0	2	3	0	0	1	0	1	0	0	3	1	3	0	0	0	9	0	1	0	2	0	1	1	1	1	2	1	1	2	1	0	1	0	7	1	1
PF3D7_1433400	123	160	70	41	22	15	6	28	65	39	3	47	1	13	4	11	98	91	38	1	31	15	28	5	65	27	15	46	73	16	130	20	89	4	21	37	432	22	36	7	31	33	96
PF3D7_1473600	7	49	0	5	1	0	1	2	2	4	2	3	1	0	0	0	7	3	1	3	0	0	8	0	0	2	0	4	11	0	4	1	7	2	2	5	37	2	1	1	11	1	0
PF3D7_1006900	27	77	11	2	5	1	2	6	7	13	2	5	0	9	3	1	10	5	10	1	4	5	26	2	7	6	3	4	10	2	4	2	4	4	2	1	28	1	3	0	35	4	7
PF3D7_1014800	5	15	13	1	0	2	0	6	1	2	0	0	0	0	2	0	9	8	5	1	0	1	1	0	0	0	1	0	1	2	1	0	0	2	0	0	2	2	3	0	0	2	0
PF3D7_1471900	56	116	14	17	8	5	5	23	30	26	2	9	2	17	1	0	19	15	19	8	2	10	79	6	6	10	21	0	5	5	16	0	3	10	6	1	25	25	9	0	46	10	17
PF3D7_1026600	91	110	66	17	35	274	10	48	134	43	1	8	48	25	11	114	126	140	49	4	0	13	25	90	4	35	51	0	4	16	6	2	7	9	17	0	6	22	28	1	38	54	11
PF3D7_0107600	18	16	16	1	0	6	3	6	2	0	0	2	1	0	0	2	14	6	6	0	0	0	0	0	0	4	7	1	1	0	2	0	1	0	3	0	2	0	6	2	1	4	0
PF3D7_0922100	1542	1451	867	305	176	353	127	490	740	379	26	72	230	721	59	141	703	414	431	48	88	94	923	488	120	166	286	100	117	141	166	23	210	110	32	29	677	178	18	16	633	277	556
PF3D7_1471000	309	507	188	79	34	54	38	98	164	106	9	48	27	180	8	10	101	75	70	8	12	13	203	47	33	18	20	29	29	18	43	0	34	36	15	4	226	55	16	4	303	18	63
PF3D7_1429200	12	30	8	8	5	4	4	8	2	9	1	11	0	0	2	2	28	30	11	1	0	0	4	0	2	7	5	1	1	5	2	2	2	2	6	1	6	4	6	1	4	9	0
